,air_inflow,air_end_temp,out_pressure,motor_current,motor_rpm,motor_temp,motor_vibe,hp
462,1.28,45.48,0.7,18.93,2198.0,62.42,3.02,20
463,0.73,33.6,0.7,10.75,1248.0,51.87,2.49,20
464,0.83,35.78,0.7,12.25,1422.0,53.8,2.59,20
465,1.71,54.58,0.7,25.2,2926.0,70.51,3.43,20
466,1.21,43.86,0.7,17.82,2069.0,60.99,2.95,20
467,1.7,54.43,0.7,25.09,2914.0,70.38,3.42,20
468,1.22,44.08,0.7,17.96,2086.0,61.18,2.96,20
469,1.76,55.8,0.7,26.04,3024.0,71.6,3.48,20
470,1.29,45.73,0.7,19.1,2218.0,62.64,3.03,20
471,1.83,57.11,0.7,26.94,3129.0,72.77,3.54,20
472,0.78,34.66,0.7,11.48,1333.0,52.81,2.54,20
473,0.75,34.11,0.7,11.1,1289.0,52.32,2.52,20
474,1.71,54.68,0.7,25.27,2934.0,70.6,3.43,20
475,1.57,51.54,0.7,23.1,2683.0,67.81,3.29,20
476,1.6,52.2,0.7,23.56,2736.0,68.4,3.32,20
477,0.75,33.98,0.7,11.01,1278.0,52.2,2.51,20
478,1.26,45.08,0.7,18.65,2166.0,62.07,3.0,20
479,0.96,38.68,0.7,14.24,1654.0,56.38,2.72,20
480,0.87,36.69,0.7,12.87,1495.0,54.61,2.63,20
481,1.38,47.64,0.7,20.42,2371.0,64.34,3.12,20
482,1.36,47.06,0.7,20.02,2325.0,63.83,3.09,20
483,0.8,35.15,0.7,11.81,1372.0,53.24,2.56,20
484,1.77,56.01,0.7,26.19,3041.0,71.79,3.49,20
485,1.56,51.41,0.7,23.02,2673.0,67.7,3.29,20
486,1.86,57.78,0.7,27.4,3182.0,73.36,3.57,20
487,1.69,54.15,0.7,24.9,2892.0,70.13,3.41,20
488,1.98,60.45,0.7,29.24,3396.0,75.73,3.69,20
489,1.88,58.26,0.7,27.74,3221.0,73.79,3.59,20
490,0.98,38.99,0.7,14.46,1679.0,56.66,2.73,20
491,0.81,35.28,0.7,11.9,1382.0,53.36,2.57,20
492,1.31,46.03,0.7,19.31,2242.0,62.91,3.05,20
493,1.07,40.83,0.7,15.72,1826.0,58.29,2.81,20
494,0.97,38.76,0.7,14.3,1661.0,56.46,2.72,20
495,0.95,38.28,0.7,13.97,1622.0,56.02,2.7,20
496,1.24,44.51,0.7,18.26,2121.0,61.57,2.98,20
497,1.84,57.39,0.7,27.13,3151.0,73.01,3.55,20
498,1.48,49.7,0.7,21.84,2536.0,66.18,3.21,20
499,1.33,46.5,0.7,19.63,2280.0,63.33,3.07,20
500,1.07,40.96,0.7,15.82,1837.0,58.41,2.82,20
501,0.82,35.51,0.7,12.06,1401.0,53.57,2.58,20
502,1.29,45.6,0.7,19.01,2208.0,62.53,3.03,20
503,2.03,61.53,0.7,29.98,3482.0,76.69,3.73,20
504,1.33,46.45,0.7,19.6,2276.0,63.29,3.06,20
505,2.04,61.64,0.7,30.06,3491.0,76.79,3.74,20
506,0.97,38.84,0.7,14.35,1667.0,56.52,2.73,20
507,0.79,34.93,0.7,11.66,1354.0,53.04,2.55,20
508,1.49,49.88,0.7,21.96,2550.0,66.33,3.22,20
509,0.84,36.05,0.7,12.43,1444.0,54.04,2.6,20
510,2.03,61.49,0.7,29.96,3479.0,76.66,3.73,20
511,1.64,53.19,0.7,24.24,2815.0,69.28,3.36,20
512,1.06,40.79,0.7,15.7,1823.0,58.26,2.81,20
513,1.11,41.69,0.7,16.32,1895.0,59.06,2.85,20
514,1.72,54.86,0.7,25.39,2949.0,70.77,3.44,20
515,1.45,48.99,0.7,21.35,2479.0,65.54,3.18,20
516,1.54,50.99,0.7,22.72,2639.0,67.32,3.27,20
517,0.87,36.54,0.7,12.77,1483.0,54.48,2.62,20
518,0.73,33.55,0.7,10.71,1244.0,51.82,2.49,20
519,1.24,44.64,0.7,18.35,2131.0,61.68,2.98,20
520,1.61,52.43,0.7,23.72,2754.0,68.6,3.33,20
521,1.06,40.8,0.7,15.71,1824.0,58.27,2.81,20
522,1.78,56.2,0.7,26.32,3056.0,71.96,3.5,20
523,1.1,41.51,0.7,16.2,1881.0,58.9,2.85,20
524,1.14,42.53,0.7,16.9,1962.0,59.8,2.89,20
525,1.89,58.51,0.7,27.91,3241.0,74.01,3.6,20
526,1.84,57.43,0.7,27.16,3154.0,73.04,3.55,20
527,1.65,53.31,0.7,24.33,2825.0,69.39,3.37,20
528,1.27,45.2,0.7,18.74,2176.0,62.18,3.01,20
529,1.91,58.98,0.7,28.23,3278.0,74.42,3.62,20
530,1.1,41.65,0.7,16.29,1892.0,59.02,2.85,20
531,1.7,54.35,0.7,25.04,2908.0,70.31,3.42,20
532,1.34,46.71,0.7,19.78,2297.0,63.52,3.08,20
533,1.23,44.38,0.7,18.17,2110.0,61.44,2.97,20
534,0.99,39.18,0.7,14.59,1694.0,56.82,2.74,20
535,1.72,54.78,0.7,25.33,2942.0,70.69,3.43,20
536,1.97,60.13,0.7,29.02,3370.0,75.44,3.67,20
537,1.25,44.78,0.7,18.45,2142.0,61.8,2.99,20
538,1.66,53.61,0.7,24.53,2849.0,69.66,3.38,20
539,0.84,36.08,0.7,12.45,1446.0,54.07,2.6,20
540,1.02,39.85,0.7,15.05,1748.0,57.42,2.77,20
541,0.84,36.03,0.7,12.42,1442.0,54.02,2.6,20
542,1.73,55.14,0.7,25.58,2971.0,71.01,3.45,20
543,1.15,42.68,0.7,17.0,1974.0,59.93,2.9,20
544,1.49,49.98,0.7,22.03,2558.0,66.42,3.22,20
545,1.9,58.63,0.7,27.99,3250.0,74.11,3.61,20
546,0.97,38.83,0.7,14.35,1666.0,56.51,2.73,20
547,1.12,42.06,0.7,16.58,1925.0,59.39,2.87,20
548,0.8,35.04,0.7,11.74,1363.0,53.14,2.56,20
549,0.78,34.93,0.7,11.32,1274.0,53.16,2.61,20
550,1.96,59.16,0.7,28.56,3213.0,74.7,3.69,20
551,2.07,61.43,0.7,30.17,3394.0,76.71,3.79,20
552,1.53,50.25,0.7,22.22,2500.0,66.78,3.29,20
553,1.14,42.28,0.7,16.55,1862.0,59.69,2.93,20
554,1.41,47.84,0.7,20.51,2307.0,64.63,3.18,20
555,0.83,36.06,0.7,12.13,1365.0,54.17,2.66,20
556,0.76,34.55,0.7,11.06,1244.0,52.82,2.59,20
557,1.6,51.65,0.7,23.22,2612.0,68.02,3.35,20
558,0.78,35.04,0.7,11.4,1283.0,53.26,2.61,20
559,1.39,47.49,0.7,20.26,2279.0,64.32,3.17,20
560,2.13,62.58,0.7,30.99,3486.0,77.73,3.84,20
561,0.8,35.45,0.7,11.7,1316.0,53.62,2.63,20
562,2.07,61.29,0.7,30.07,3383.0,76.59,3.78,20
563,1.57,51.08,0.7,22.81,2566.0,67.51,3.33,20
564,1.98,59.54,0.7,28.83,3243.0,75.03,3.7,20
565,1.63,52.35,0.7,23.72,2668.0,68.64,3.38,20
566,1.43,48.33,0.7,20.85,2346.0,65.07,3.2,20
567,2.17,63.45,0.7,31.61,3556.0,78.51,3.88,20
568,1.28,45.13,0.7,18.58,2090.0,62.22,3.06,20
569,1.63,52.39,0.7,23.74,2671.0,68.68,3.38,20
570,1.16,42.75,0.7,16.89,1900.0,60.11,2.96,20
571,2.11,62.14,0.7,30.68,3451.0,77.34,3.82,20
572,0.99,39.29,0.7,14.43,1623.0,57.03,2.8,20
573,1.63,52.43,0.7,23.77,2674.0,68.71,3.39,20
574,2.12,62.28,0.7,30.77,3462.0,77.47,3.82,20
575,1.83,56.41,0.7,26.6,2993.0,72.26,3.56,20
576,1.06,40.71,0.7,15.44,1737.0,58.3,2.87,20
577,0.94,38.33,0.7,13.74,1546.0,56.18,2.76,20
578,1.03,40.0,0.7,14.93,1680.0,57.67,2.83,20
579,1.32,46.06,0.7,19.24,2165.0,63.06,3.1,20
580,1.27,45.05,0.7,18.52,2084.0,62.16,3.06,20
581,0.94,38.69,0.7,13.41,1495.0,56.61,20.83,20
582,1.21,44.14,0.7,17.33,1931.0,61.46,21.07,20
583,1.36,47.04,0.7,19.41,2163.0,64.03,21.2,20
584,1.05,40.83,0.7,14.95,1666.0,58.51,20.93,20
585,1.91,58.0,0.7,27.28,3040.0,73.78,21.69,20
586,1.16,43.15,0.7,16.62,1852.0,60.58,21.03,20
587,1.31,46.09,0.7,18.73,2087.0,63.19,21.16,20
588,0.98,39.46,0.7,13.97,1557.0,57.3,20.87,20
589,1.57,51.31,0.7,22.48,2505.0,67.83,21.39,20
590,1.71,53.96,0.7,24.38,2717.0,70.19,21.51,20
591,1.14,42.6,0.7,16.22,1808.0,60.09,21.0,20
592,1.05,40.86,0.7,14.97,1669.0,58.54,20.93,20
593,1.4,47.8,0.7,19.95,2224.0,64.71,21.24,20
594,1.4,47.79,0.7,19.95,2223.0,64.7,21.24,20
595,1.8,55.83,0.7,25.71,2866.0,71.84,21.59,20
596,2.11,62.0,0.7,30.15,3360.0,77.33,21.87,20
597,1.81,56.76,0.7,26.7,3101.0,72.46,3.52,20
598,1.39,47.79,0.7,20.52,2383.0,64.48,3.12,20
599,1.5,50.14,0.7,22.14,2571.0,66.57,3.23,20
600,0.81,35.39,0.7,11.98,1391.0,53.46,2.57,20
601,0.78,34.73,0.7,11.52,1338.0,52.87,2.54,20
602,1.1,41.64,0.7,16.28,1891.0,59.01,2.85,20
603,1.76,55.76,0.7,26.01,3021.0,71.57,3.48,20
604,1.06,40.74,0.7,15.66,1819.0,58.21,2.81,20
605,1.63,52.85,0.7,24.01,2788.0,68.98,3.35,20
606,1.09,41.43,0.7,16.14,1874.0,58.82,2.84,20
607,1.26,45.05,0.7,18.63,2164.0,62.04,3.0,20
608,1.47,49.45,0.7,21.67,2516.0,65.96,3.2,20
609,1.48,49.63,0.7,21.79,2530.0,66.11,3.21,20
610,1.73,55.03,0.7,25.51,2962.0,70.91,3.45,20
611,1.08,41.2,0.7,15.98,1856.0,58.62,2.83,20
612,1.8,56.54,0.7,26.55,3083.0,72.26,3.51,20
613,1.61,52.46,0.7,23.74,2757.0,68.63,3.33,20
614,0.79,34.91,0.7,11.65,1353.0,53.03,2.55,20
615,0.88,36.94,0.7,13.05,1515.0,54.83,2.64,20
616,1.38,47.48,0.7,20.31,2358.0,64.2,3.11,20
617,1.4,47.9,0.7,20.6,2392.0,64.58,3.13,20
618,1.51,50.44,0.7,22.35,2595.0,66.83,3.24,20
619,0.98,39.05,0.7,14.5,1684.0,56.71,2.74,20
620,0.92,37.73,0.7,13.59,1578.0,55.53,2.68,20
621,1.19,43.5,0.7,17.57,2040.0,60.67,2.93,20
622,1.64,53.2,0.7,24.25,2816.0,69.29,3.36,20
623,1.7,54.46,0.7,25.12,2917.0,70.41,3.42,20
624,1.48,49.69,0.7,21.83,2535.0,66.17,3.21,20
625,1.26,44.93,0.7,18.55,2154.0,61.93,3.0,20
626,1.53,50.84,0.7,22.62,2627.0,67.19,3.26,20
627,1.35,47.0,0.7,19.98,2320.0,63.78,3.09,20
628,1.97,60.21,0.7,29.08,3377.0,75.52,3.68,20
629,1.01,39.71,0.7,14.96,1737.0,57.3,2.77,20
630,1.01,39.55,0.7,14.85,1724.0,57.16,2.76,20
631,1.06,40.75,0.7,15.67,1820.0,58.22,2.81,20
632,1.74,55.25,0.7,25.66,2980.0,71.11,3.46,20
633,1.93,59.46,0.7,28.56,3317.0,74.86,3.64,20
634,1.45,49.16,0.7,21.47,2493.0,65.7,3.19,20
635,1.92,59.06,0.7,28.29,3285.0,74.5,3.63,20
636,1.24,44.58,0.7,18.31,2126.0,61.62,2.98,20
637,0.94,38.19,0.7,13.91,1615.0,55.94,2.7,20
638,1.25,44.75,0.7,18.43,2140.0,61.78,2.99,20
639,2.07,62.28,0.7,30.5,3542.0,77.36,3.77,20
640,0.77,34.44,0.7,11.32,1315.0,52.61,2.53,20
641,1.15,42.63,0.7,16.96,1970.0,59.89,2.89,20
642,0.91,37.43,0.7,13.38,1554.0,55.27,2.66,20
643,1.74,55.26,0.7,25.67,2981.0,71.12,3.46,20
644,2.0,60.76,0.7,29.46,3421.0,76.01,3.7,20
645,1.61,52.4,0.7,23.7,2752.0,68.58,3.33,20
646,1.55,51.16,0.7,22.85,2653.0,67.48,3.27,20
647,1.43,48.59,0.7,21.07,2447.0,65.19,3.16,20
648,0.93,37.89,0.7,13.7,1591.0,55.68,2.68,20
649,1.88,58.38,0.7,27.81,3230.0,73.89,3.59,20
650,1.16,42.93,0.7,17.17,1994.0,60.16,2.91,20
651,1.62,52.8,0.7,23.97,2784.0,68.93,3.35,20
652,1.24,44.54,0.7,18.28,2123.0,61.59,2.98,20
653,1.27,45.28,0.7,18.79,2182.0,62.24,3.01,20
654,1.42,48.35,0.7,20.91,2428.0,64.98,3.15,20
655,1.27,45.18,0.7,18.72,2174.0,62.16,3.01,20
656,1.15,42.59,0.7,16.94,1967.0,59.86,2.89,20
657,1.92,59.16,0.7,28.36,3293.0,74.59,3.63,20
658,1.02,39.9,0.7,15.09,1752.0,57.47,2.77,20
659,0.89,37.05,0.7,13.12,1524.0,54.93,2.65,20
660,2.06,62.04,0.7,30.34,3523.0,77.14,3.76,20
661,1.54,50.99,0.7,22.72,2639.0,67.32,3.27,20
662,1.36,47.09,0.7,20.04,2327.0,63.86,3.09,20
663,1.76,55.76,0.7,26.01,3021.0,71.57,3.48,20
664,0.78,34.79,0.7,11.56,1343.0,52.92,2.55,20
665,1.79,56.39,0.7,26.44,3071.0,72.12,3.51,20
666,1.59,52.01,0.7,23.43,2721.0,68.23,3.31,20
667,1.83,57.3,0.7,27.07,3144.0,72.93,3.55,20
668,1.41,48.15,0.7,20.77,2412.0,64.8,3.14,20
669,1.54,51.01,0.7,22.74,2641.0,67.34,3.27,20
670,0.94,38.08,0.7,13.83,1606.0,55.84,2.69,20
671,1.49,50.03,0.7,22.06,2562.0,66.47,3.22,20
672,1.23,44.4,0.7,18.19,2112.0,61.47,2.97,20
673,1.05,40.53,0.7,15.52,1802.0,58.02,2.8,20
674,1.42,48.34,0.7,20.9,2427.0,64.97,3.15,20
675,1.96,59.91,0.7,28.87,3353.0,75.26,3.66,20
676,2.0,60.8,0.7,29.48,3424.0,76.04,3.7,20
677,1.43,48.56,0.7,21.05,2445.0,65.17,3.16,20
678,1.64,53.18,0.7,24.23,2814.0,69.27,3.36,20
679,1.35,46.95,0.7,19.94,2316.0,63.73,3.09,20
680,1.18,43.24,0.7,17.39,2019.0,60.43,2.92,20
681,1.65,53.46,0.7,24.43,2837.0,69.52,3.38,20
682,1.43,48.54,0.7,21.04,2443.0,65.14,3.16,20
683,0.8,35.11,0.7,11.79,1369.0,53.21,2.56,20
684,0.82,35.56,0.7,12.1,1405.0,53.61,2.58,20
685,1.16,42.79,0.7,17.08,1983.0,60.03,2.9,20
686,2.07,62.31,0.7,30.53,3545.0,77.39,3.77,20
687,1.38,47.64,0.7,20.42,2371.0,64.34,3.12,20
688,0.71,33.25,0.7,10.51,1220.0,51.56,2.48,20
689,1.05,40.48,0.7,15.48,1798.0,57.98,2.8,20
690,1.28,45.46,0.7,18.92,2197.0,62.41,3.02,20
691,0.75,34.14,0.7,11.12,1291.0,52.34,2.52,20
692,1.88,58.35,0.7,27.8,3228.0,73.87,3.59,20
693,1.36,47.05,0.7,20.01,2324.0,63.82,3.09,20
694,0.71,33.13,0.7,10.42,1210.0,51.44,2.47,20
695,1.82,57.03,0.7,26.88,3122.0,72.69,3.53,20
696,1.11,41.86,0.7,16.44,1909.0,59.21,2.86,20
697,1.53,50.84,0.7,22.62,2627.0,67.19,3.26,20
698,2.01,61.11,0.7,29.7,3449.0,76.32,3.72,20
699,2.05,62.03,0.7,30.33,3522.0,77.13,3.76,20
700,1.61,52.46,0.7,23.74,2757.0,68.63,3.33,20
701,0.92,37.64,0.7,13.53,1571.0,55.46,2.67,20
702,1.46,49.33,0.7,21.58,2506.0,65.84,3.19,20
703,1.74,55.34,0.7,25.72,2987.0,71.19,3.46,20
704,1.58,51.89,0.7,23.34,2711.0,68.12,3.31,20
705,0.86,36.48,0.7,12.73,1478.0,54.42,2.62,20
706,1.42,48.48,0.7,20.99,2438.0,65.09,3.15,20
707,1.67,53.76,0.7,24.64,2861.0,69.79,3.39,20
708,0.88,36.96,0.7,13.06,1517.0,54.86,2.64,20
709,0.74,33.96,0.7,11.0,1277.0,52.19,2.51,20
710,0.73,33.7,0.7,10.82,1256.0,51.96,2.5,20
711,1.18,43.31,0.7,17.44,2025.0,60.5,2.93,20
712,1.26,44.99,0.7,18.59,2159.0,61.99,3.0,20
713,1.98,60.53,0.7,29.3,3402.0,75.8,3.69,20
714,1.99,60.65,0.7,29.38,3412.0,75.91,3.7,20
715,1.45,49.08,0.7,21.41,2486.0,65.62,3.18,20
716,1.18,43.21,0.7,17.37,2017.0,60.41,2.92,20
717,1.0,39.43,0.7,14.76,1714.0,57.04,2.75,20
718,0.87,36.7,0.7,12.88,1496.0,54.62,2.63,20
719,1.37,47.45,0.7,20.29,2356.0,64.18,3.11,20
720,1.39,47.84,0.7,20.55,2387.0,64.52,3.13,20
721,1.74,55.23,0.7,25.64,2978.0,71.09,3.45,20
722,1.15,42.63,0.7,16.96,1970.0,59.89,2.89,20
723,0.92,37.81,0.7,13.65,1585.0,55.61,2.68,20
724,1.43,48.71,0.7,21.16,2457.0,65.3,3.17,20
725,2.01,60.98,0.7,29.61,3438.0,76.2,3.71,20
726,1.89,58.44,0.7,27.86,3235.0,73.94,3.6,20
727,1.88,58.34,0.7,27.79,3227.0,73.86,3.59,20
728,1.32,46.25,0.7,19.46,2260.0,63.11,3.06,20
729,1.34,46.79,0.7,19.83,2303.0,63.59,3.08,20
730,1.67,53.69,0.7,24.58,2855.0,69.72,3.39,20
731,1.7,54.41,0.7,25.08,2913.0,70.37,3.42,20
732,0.91,37.59,0.7,13.49,1567.0,55.41,2.67,20
733,1.67,53.85,0.7,24.7,2868.0,69.87,3.39,20
734,0.96,38.54,0.7,14.15,1643.0,56.26,2.71,20
735,2.0,60.84,0.7,29.51,3427.0,76.08,3.7,20
736,1.34,46.61,0.7,19.71,2289.0,63.43,3.07,20
737,0.72,33.5,0.7,10.68,1240.0,51.78,2.49,20
738,1.59,52.14,0.7,23.52,2731.0,68.34,3.32,20
739,1.51,50.4,0.7,22.32,2592.0,66.8,3.24,20
740,2.01,61.1,0.7,29.69,3448.0,76.31,3.72,20
741,2.06,62.15,0.7,30.41,3532.0,77.24,3.76,20
742,2.0,60.96,0.7,29.6,3437.0,76.19,3.71,20
743,1.07,40.99,0.7,15.84,1839.0,58.43,2.82,20
744,1.38,47.51,0.7,20.33,2361.0,64.23,3.11,20
745,0.93,37.88,0.7,13.69,1590.0,55.67,2.68,20
746,1.86,57.79,0.7,27.41,3183.0,73.37,3.57,20
747,1.41,48.19,0.7,20.8,2415.0,64.83,3.14,20
748,2.02,61.3,0.7,29.83,3464.0,76.49,3.72,20
749,1.66,53.68,0.7,24.58,2854.0,69.71,3.39,20
750,1.54,51.09,0.7,22.79,2647.0,67.41,3.27,20
751,1.68,54.05,0.7,24.83,2884.0,70.04,3.4,20
752,1.94,59.68,0.7,28.71,3334.0,75.04,3.65,20
753,0.89,37.06,0.7,13.13,1525.0,54.94,2.65,20
754,1.5,50.23,0.7,22.2,2578.0,66.64,3.23,20
755,1.36,47.09,0.7,20.04,2327.0,63.86,3.09,20
756,1.42,48.49,0.7,21.0,2439.0,65.1,3.16,20
757,1.05,40.49,0.7,15.49,1799.0,57.99,2.8,20
758,0.71,33.23,0.7,10.49,1218.0,51.53,2.48,20
759,1.02,39.95,0.7,15.12,1756.0,57.51,2.78,20
760,1.29,45.63,0.7,19.03,2210.0,62.56,3.03,20
761,1.46,49.33,0.7,21.58,2506.0,65.84,3.19,20
762,1.11,41.79,0.7,16.39,1903.0,59.14,2.86,20
763,1.75,55.43,0.7,25.78,2994.0,71.27,3.46,20
764,0.72,33.41,0.7,10.62,1233.0,51.7,2.49,20
765,0.91,37.49,0.7,13.42,1559.0,55.32,2.67,20
766,0.77,34.56,0.7,11.41,1325.0,52.72,2.54,20
767,1.3,45.96,0.7,19.26,2237.0,62.86,3.04,20
768,1.98,60.51,0.7,29.29,3401.0,75.79,3.69,20
769,1.15,42.58,0.7,16.93,1966.0,59.84,2.89,20
770,1.35,46.98,0.7,19.96,2318.0,63.76,3.09,20
771,1.97,60.19,0.7,29.06,3375.0,75.5,3.68,20
772,1.32,46.28,0.7,19.48,2262.0,63.13,3.06,20
773,0.83,35.75,0.7,12.23,1420.0,53.78,2.59,20
774,1.66,53.56,0.7,24.5,2845.0,69.61,3.38,20
775,0.91,37.53,0.7,13.45,1562.0,55.36,2.67,20
776,1.51,50.33,0.7,22.27,2586.0,66.73,3.24,20
777,0.98,39.1,0.7,14.54,1688.0,56.76,2.74,20
778,1.1,41.65,0.7,16.29,1892.0,59.02,2.85,20
779,1.66,53.56,0.7,24.5,2845.0,69.61,3.38,20
780,1.76,55.63,0.7,25.92,3010.0,71.44,3.47,20
781,1.82,57.09,0.7,26.93,3127.0,72.74,3.54,20
782,1.12,41.99,0.7,16.52,1919.0,59.32,2.87,20
783,1.64,53.06,0.7,24.15,2805.0,69.17,3.36,20
784,0.88,36.78,0.7,12.93,1502.0,54.69,2.63,20
785,1.39,47.84,0.7,20.55,2387.0,64.52,3.13,20
786,1.31,46.08,0.7,19.34,2246.0,62.96,3.05,20
787,2.04,61.79,0.7,30.16,3503.0,76.92,3.75,20
788,1.63,52.98,0.7,24.09,2798.0,69.09,3.35,20
789,0.89,37.04,0.7,13.11,1523.0,54.92,2.65,20
790,0.71,33.23,0.7,10.49,1218.0,51.53,2.48,20
791,1.14,42.4,0.7,16.81,1952.0,59.69,2.88,20
792,1.24,44.65,0.7,18.36,2132.0,61.69,2.98,20
793,1.0,39.34,0.7,14.7,1707.0,56.97,2.75,20
794,1.58,51.86,0.7,23.33,2709.0,68.1,3.31,20
795,1.76,55.69,0.7,25.96,3015.0,71.5,3.48,20
796,0.72,33.33,0.7,10.56,1226.0,51.62,2.48,20
797,0.86,36.41,0.7,12.68,1473.0,54.37,2.62,20
798,0.83,35.88,0.7,12.31,1430.0,53.89,2.59,20
799,1.77,55.85,0.7,26.07,3028.0,71.64,3.48,20
800,0.85,36.13,0.7,12.49,1450.0,54.11,2.61,20
