,air_inflow,air_end_temp,out_pressure,motor_current,motor_rpm,motor_temp,motor_vibe,hp
1261,3.49,45.43,0.7,40.0,1994.0,63.16,4.31,50
1262,2.5,38.38,0.7,29.0,1430.0,56.89,3.99,50
1263,5.87,62.44,0.7,68.0,3355.0,78.28,5.06,50
1264,3.67,46.74,0.7,43.0,2099.0,64.32,4.37,50
1265,2.89,41.11,0.7,33.0,1649.0,59.32,4.12,50
1266,4.21,50.58,0.7,49.0,2406.0,67.73,4.54,50
1267,5.05,56.56,0.7,59.0,2885.0,73.06,4.8,50
1268,3.49,45.46,0.7,40.0,1997.0,63.19,4.31,50
1269,5.22,57.76,0.7,60.0,2981.0,74.12,4.86,50
1270,5.34,58.61,0.7,62.0,3049.0,74.88,4.89,50
1271,5.66,60.96,0.7,66.0,3237.0,76.97,5.0,50
1272,5.58,60.38,0.7,65.0,3190.0,76.44,4.97,50
1273,3.45,45.16,0.7,40.0,1973.0,62.92,4.3,50
1274,5.73,61.44,0.7,66.0,3275.0,77.39,5.02,50
1275,4.43,52.13,0.7,51.0,2530.0,69.11,4.61,50
1276,3.19,43.26,0.7,37.0,1821.0,61.23,4.21,50
1277,3.62,46.34,0.7,42.0,2067.0,63.97,4.35,50
1278,2.58,38.95,0.7,30.0,1476.0,57.4,4.02,50
1279,5.82,62.1,0.7,67.0,3328.0,77.98,5.05,50
1280,5.15,57.31,0.7,60.0,2945.0,73.72,4.84,50
1281,2.36,37.34,0.7,27.0,1347.0,55.97,3.95,50
1282,5.75,61.55,0.7,67.0,3284.0,77.49,5.02,50
1283,5.82,62.08,0.7,67.0,3326.0,77.96,5.05,50
1284,3.8,47.66,0.7,44.0,2173.0,65.14,4.41,50
1285,2.19,36.16,0.7,25.0,1253.0,54.92,3.9,50
1286,4.38,51.79,0.7,51.0,2503.0,68.81,4.59,50
1287,2.36,37.35,0.7,27.0,1348.0,55.98,3.95,50
1288,5.18,57.53,0.7,60.0,2962.0,73.91,4.85,50
1289,2.43,37.85,0.7,28.0,1388.0,56.42,3.97,50
1290,3.46,45.21,0.7,40.0,1977.0,62.97,4.3,50
1291,4.2,50.49,0.7,49.0,2399.0,67.66,4.53,50
1292,2.11,35.55,0.7,24.0,1204.0,54.38,3.87,50
1293,4.87,55.31,0.7,56.0,2785.0,71.94,4.75,50
1294,4.07,49.54,0.7,47.0,2323.0,66.81,4.49,50
1295,3.58,46.06,0.7,41.0,2045.0,63.72,4.34,50
1296,2.95,41.6,0.7,34.0,1688.0,59.76,4.14,50
1297,4.17,50.28,0.7,48.0,2382.0,67.47,4.52,50
1298,4.31,51.3,0.7,50.0,2464.0,68.38,4.57,50
1299,3.81,47.69,0.7,44.0,2175.0,65.17,4.41,50
1300,4.45,52.26,0.7,52.0,2541.0,69.23,4.61,50
1301,3.09,42.58,0.7,36.0,1766.0,60.62,4.18,50
1302,5.48,59.65,0.7,64.0,3132.0,75.8,4.94,50
1303,3.3,44.09,0.7,38.0,1887.0,61.97,4.25,50
1304,4.44,52.2,0.7,51.0,2536.0,69.18,4.61,50
1305,4.21,50.59,0.7,49.0,2407.0,67.74,4.54,50
1306,2.24,36.51,0.7,26.0,1281.0,55.23,3.91,50
1307,5.32,58.49,0.7,62.0,3039.0,74.77,4.89,50
1308,5.67,60.98,0.7,66.0,3238.0,76.98,5.0,50
1309,3.76,47.38,0.7,44.0,2150.0,64.89,4.39,50
1310,4.46,52.36,0.7,52.0,2549.0,69.32,4.62,50
1311,2.42,37.81,0.7,28.0,1385.0,56.39,3.97,50
1312,3.11,42.74,0.7,36.0,1779.0,60.77,4.19,50
1313,2.43,37.86,0.7,28.0,1389.0,56.43,3.97,50
1314,5.88,62.48,0.7,68.0,3358.0,78.31,5.07,50
1315,5.33,58.58,0.7,62.0,3046.0,74.84,4.89,50
1316,4.0,49.09,0.7,46.0,2287.0,66.41,4.47,50
1317,5.58,60.39,0.7,65.0,3191.0,76.46,4.97,50
1318,5.41,59.18,0.7,63.0,3094.0,75.38,4.92,50
1319,5.29,58.29,0.7,61.0,3023.0,74.59,4.88,50
1320,5.99,63.25,0.7,69.0,3420.0,79.0,5.1,50
1321,5.75,61.58,0.7,67.0,3286.0,77.51,5.03,50
1322,3.26,43.75,0.7,38.0,1860.0,61.67,4.23,50
1323,5.14,57.24,0.7,60.0,2939.0,73.66,4.83,50
1324,4.96,55.95,0.7,58.0,2836.0,72.51,4.78,50
1325,3.8,47.64,0.7,44.0,2171.0,65.12,4.41,50
1326,4.45,52.3,0.7,52.0,2544.0,69.27,4.61,50
1327,4.62,53.53,0.7,54.0,2642.0,70.36,4.67,50
1328,6.15,64.4,0.7,71.0,3512.0,80.02,5.15,50
1329,5.2,57.64,0.7,60.0,2971.0,74.01,4.85,50
1330,5.7,61.19,0.7,66.0,3255.0,77.17,5.01,50
1331,5.5,59.81,0.7,64.0,3145.0,75.94,4.95,50
1332,3.36,44.51,0.7,39.0,1921.0,62.34,4.27,50
1333,4.34,51.51,0.7,50.0,2481.0,68.57,4.58,50
1334,2.24,36.49,0.7,26.0,1279.0,55.21,3.91,50
1335,2.42,37.79,0.7,28.0,1383.0,56.37,3.97,50
1336,3.93,48.6,0.7,46.0,2248.0,65.98,4.45,50
1337,5.06,56.64,0.7,59.0,2891.0,73.12,4.81,50
1338,3.37,44.6,0.7,39.0,1928.0,62.42,4.27,50
1339,2.29,36.83,0.7,26.0,1306.0,55.51,3.93,50
1340,6.03,63.56,0.7,70.0,3445.0,79.28,5.11,50
1341,5.86,62.39,0.7,68.0,3351.0,78.23,5.06,50
1342,5.79,61.88,0.7,67.0,3310.0,77.78,5.04,50
1343,3.3,44.09,0.7,38.0,1887.0,61.97,4.25,50
1344,2.89,41.13,0.7,33.0,1650.0,59.33,4.12,50
1345,5.58,60.38,0.7,65.0,3190.0,76.44,4.97,50
1346,3.88,48.19,0.7,45.0,2215.0,65.61,4.43,50
1347,5.86,62.38,0.7,68.0,3350.0,78.22,5.06,50
1348,2.27,36.69,0.7,26.0,1295.0,55.39,3.92,50
1349,4.98,56.06,0.7,58.0,2845.0,72.61,4.78,50
1350,4.05,49.4,0.7,47.0,2312.0,66.69,4.48,50
1351,4.27,51.0,0.7,49.0,2440.0,68.11,4.56,50
1352,2.42,37.78,0.7,28.0,1382.0,56.36,3.97,50
1353,3.43,44.98,0.7,40.0,1958.0,62.76,4.29,50
1354,3.57,46.03,0.7,41.0,2042.0,63.69,4.33,50
1355,5.91,62.7,0.7,68.0,3376.0,78.51,5.08,50
1356,3.58,46.08,0.7,41.0,2046.0,63.73,4.34,50
1357,3.37,44.59,0.7,39.0,1927.0,62.41,4.27,50
1358,2.76,40.2,0.7,32.0,1576.0,58.51,4.08,50
1359,3.84,47.96,0.7,45.0,2197.0,65.41,4.42,50
1360,3.74,47.24,0.7,43.0,2139.0,64.77,4.39,50
1361,5.33,58.54,0.7,62.0,3043.0,74.81,4.89,50
1362,4.1,49.79,0.7,48.0,2343.0,67.03,4.5,50
1363,3.61,46.3,0.7,42.0,2064.0,63.93,4.35,50
1364,3.21,43.46,0.7,37.0,1837.0,61.41,4.22,50
1365,4.21,50.56,0.7,49.0,2405.0,67.72,4.54,50
1366,3.09,42.6,0.7,36.0,1768.0,60.64,4.18,50
1367,5.55,60.18,0.7,64.0,3174.0,76.27,4.96,50
1368,6.2,64.78,0.7,72.0,3542.0,80.36,5.17,50
1369,3.09,42.6,0.7,36.0,1768.0,60.64,4.18,50
1370,5.22,57.8,0.7,61.0,2984.0,74.16,4.86,50
1371,2.4,37.61,0.7,28.0,1369.0,56.21,3.96,50
1372,4.97,55.99,0.7,58.0,2839.0,72.54,4.78,50
1373,2.18,36.08,0.7,25.0,1246.0,54.84,3.89,50
1374,4.49,52.54,0.7,52.0,2563.0,69.48,4.62,50
1375,2.45,38.0,0.7,28.0,1400.0,56.56,3.98,50
1376,4.6,53.38,0.7,53.0,2630.0,70.22,4.66,50
1377,5.89,62.56,0.7,68.0,3365.0,78.39,5.07,50
1378,3.66,46.68,0.7,42.0,2094.0,64.27,4.36,50
1379,6.07,63.85,0.7,70.0,3468.0,79.53,5.13,50
1380,2.54,38.64,0.7,29.0,1451.0,57.12,4.01,50
1381,5.64,60.76,0.7,65.0,3221.0,76.79,4.99,50
1382,4.73,54.25,0.7,55.0,2700.0,71.0,4.7,50
1383,4.31,51.3,0.7,50.0,2464.0,68.38,4.57,50
1384,4.91,55.6,0.7,57.0,2808.0,72.2,4.76,50
1385,4.11,49.85,0.7,48.0,2348.0,67.09,4.5,50
1386,6.2,64.79,0.7,72.0,3543.0,80.37,5.17,50
1387,2.97,41.73,0.7,34.0,1698.0,59.87,4.14,50
1388,2.14,35.8,0.7,25.0,1224.0,54.6,3.88,50
1389,4.87,55.3,0.7,56.0,2784.0,71.93,4.75,50
1390,6.07,63.83,0.7,70.0,3466.0,79.51,5.13,50
1391,2.57,38.86,0.7,30.0,1469.0,57.32,4.02,50
1392,4.87,55.31,0.7,56.0,2785.0,71.94,4.75,50
1393,4.88,55.34,0.7,57.0,2787.0,71.97,4.75,50
1394,3.71,46.99,0.7,43.0,2119.0,64.54,4.38,50
1395,5.96,63.06,0.7,69.0,3405.0,78.83,5.09,50
1396,2.47,38.11,0.7,29.0,1409.0,56.66,3.98,50
1397,4.83,55.0,0.7,56.0,2760.0,71.67,4.73,50
1398,3.64,46.49,0.7,42.0,2079.0,64.1,4.36,50
1399,4.03,49.26,0.7,47.0,2301.0,66.57,4.48,50
1400,4.39,51.89,0.7,51.0,2511.0,68.9,4.6,50
1401,5.34,58.64,0.7,62.0,3051.0,74.9,4.9,50
1402,5.56,60.24,0.7,64.0,3179.0,76.32,4.97,50
1403,6.06,63.81,0.7,70.0,3465.0,79.5,5.13,50
1404,5.12,57.08,0.7,59.0,2926.0,73.51,4.83,50
1405,4.58,53.2,0.7,53.0,2616.0,70.07,4.65,50
1406,6.05,63.71,0.7,70.0,3457.0,79.41,5.12,50
1407,2.83,40.69,0.7,33.0,1615.0,58.94,4.1,50
1408,6.19,64.71,0.7,72.0,3537.0,80.3,5.17,50
1409,2.43,37.89,0.7,28.0,1391.0,56.46,3.97,50
1410,5.26,58.1,0.7,61.0,3008.0,74.42,4.87,50
1411,3.38,44.65,0.7,39.0,1932.0,62.47,4.27,50
1412,4.35,51.55,0.7,50.0,2484.0,68.6,4.58,50
1413,4.25,50.84,0.7,49.0,2427.0,67.97,4.55,50
1414,4.27,51.01,0.7,49.0,2441.0,68.12,4.56,50
1415,2.23,36.41,0.7,26.0,1273.0,55.14,3.91,50
1416,5.16,57.39,0.7,60.0,2951.0,73.79,4.84,50
1417,3.78,47.53,0.7,44.0,2162.0,65.02,4.4,50
1418,6.18,64.63,0.7,72.0,3530.0,80.22,5.16,50
1419,5.24,57.9,0.7,61.0,2992.0,74.24,4.86,50
1420,2.5,38.34,0.7,29.0,1427.0,56.86,3.99,50
1421,2.28,36.76,0.7,26.0,1301.0,55.46,3.92,50
1422,2.28,36.8,0.7,26.0,1304.0,55.49,3.92,50
1423,5.82,62.09,0.7,67.0,3327.0,77.97,5.05,50
1424,2.31,37.03,0.7,27.0,1322.0,55.69,3.93,50
1425,2.86,40.96,0.7,33.0,1637.0,59.19,4.11,50
1426,6.16,64.49,0.7,71.0,3519.0,80.1,5.16,50
1427,4.03,49.3,0.7,47.0,2304.0,66.6,4.48,50
1428,4.47,52.44,0.7,52.0,2555.0,69.39,4.62,50
1429,5.08,56.79,0.7,59.0,2903.0,73.26,4.81,50
1430,5.43,59.28,0.7,63.0,3102.0,75.47,4.92,50
1431,2.24,36.51,0.7,26.0,1281.0,55.23,3.91,50
1432,5.55,60.14,0.7,64.0,3171.0,76.23,4.96,50
1433,5.99,63.3,0.7,69.0,3424.0,79.04,5.1,50
1434,4.6,53.39,0.7,53.0,2631.0,70.23,4.66,50
1435,5.18,57.5,0.7,60.0,2960.0,73.89,4.84,50
1436,5.96,63.05,0.7,69.0,3404.0,78.82,5.09,50
1437,3.32,44.19,0.7,38.0,1895.0,62.06,4.25,50
1438,3.89,48.26,0.7,45.0,2221.0,65.68,4.43,50
1439,2.63,39.3,0.7,30.0,1504.0,57.71,4.04,50
1440,5.59,60.46,0.7,65.0,3197.0,76.52,4.98,50
1441,5.76,61.68,0.7,67.0,3294.0,77.6,5.03,50
1442,3.49,45.43,0.7,40.0,1994.0,63.16,4.31,50
1443,3.2,43.36,0.7,37.0,1829.0,61.32,4.22,50
1444,2.92,41.35,0.7,34.0,1668.0,59.53,4.13,50
1445,5.25,57.99,0.7,61.0,2999.0,74.32,4.87,50
1446,5.7,61.23,0.7,66.0,3258.0,77.2,5.01,50
1447,4.46,52.35,0.7,52.0,2548.0,69.31,4.62,50
1448,4.48,52.49,0.7,52.0,2559.0,69.43,4.62,50
1449,2.2,36.21,0.7,25.0,1257.0,54.97,3.9,50
1450,2.12,35.65,0.7,25.0,1212.0,54.47,3.87,50
1451,5.37,58.85,0.7,62.0,3068.0,75.09,4.9,50
1452,4.12,49.9,0.7,48.0,2352.0,67.13,4.51,50
1453,3.13,42.88,0.7,36.0,1790.0,60.89,4.19,50
1454,4.72,54.24,0.7,55.0,2699.0,70.99,4.7,50
1455,5.49,59.74,0.7,64.0,3139.0,75.88,4.94,50
1456,2.77,40.29,0.7,32.0,1583.0,58.59,4.08,50
1457,3.97,48.88,0.7,46.0,2270.0,66.22,4.46,50
1458,3.68,46.75,0.7,43.0,2100.0,64.33,4.37,50
1459,2.38,37.51,0.7,28.0,1361.0,56.12,3.96,50
1460,3.18,43.24,0.7,37.0,1819.0,61.21,4.21,50
1461,3.49,45.4,0.7,40.0,1992.0,63.13,4.31,50
1462,6.15,64.45,0.7,71.0,3516.0,80.07,5.15,50
1463,3.5,45.48,0.7,41.0,1998.0,63.2,4.31,50
1464,3.48,45.36,0.7,40.0,1989.0,63.1,4.31,50
1465,5.0,56.2,0.7,58.0,2856.0,72.73,4.79,50
1466,5.01,56.26,0.7,58.0,2861.0,72.79,4.79,50
1467,2.5,38.36,0.7,29.0,1429.0,56.88,3.99,50
1468,4.77,54.56,0.7,55.0,2725.0,71.28,4.71,50
1469,5.51,59.86,0.7,64.0,3149.0,75.99,4.95,50
1470,3.11,42.7,0.7,36.0,1776.0,60.73,4.19,50
1471,5.46,59.51,0.7,63.0,3121.0,75.68,4.93,50
1472,3.14,42.95,0.7,36.0,1796.0,60.96,4.2,50
